1,0.99
2,0.985
3,0.995
4,0.995
5,0.99
6,0.995
7,0.985
8,0.99
9,0.99
10,0.99
11,0.99
12,0.985
13,0.985
14,0.985
15,0.98
16,0.98
17,0.98
18,0.98
19,0.975
20,0.975
21,0.97
22,0.975
23,0.97
24,0.965
25,0.965
26,0.965
27,0.965
28,0.965
29,0.965
30,0.96
31,0.96
32,0.96
33,0.96
34,0.965
35,0.96
36,0.96
37,0.96
38,0.955
39,0.96
40,0.955
41,0.96
42,0.96
43,0.96
44,0.955
45,0.96
46,0.96
47,0.96
48,0.955
49,0.955
50,0.955
51,0.955
52,0.955
53,0.955
54,0.955
55,0.96
56,0.96
57,0.96
58,0.96
59,0.96
60,0.96
61,0.96
62,0.965
63,0.965
64,0.96
65,0.96
66,0.96
67,0.96
68,0.96
69,0.96
70,0.96
71,0.955
72,0.96
73,0.96
74,0.96
75,0.96
76,0.96
77,0.96
78,0.96
79,0.96
80,0.96
81,0.96
82,0.96
83,0.96
84,0.96
85,0.96
86,0.96
87,0.96
88,0.96
89,0.96
90,0.96
91,0.96
92,0.96
93,0.96
94,0.96
95,0.96
96,0.96
97,0.96
98,0.96
99,0.96
100,0.96
101,0.96
102,0.96
103,0.96
104,0.96
105,0.96
106,0.96
107,0.96
108,0.96
109,0.96
110,0.96
111,0.96
112,0.96
113,0.96
114,0.96
115,0.96
116,0.96
117,0.96
118,0.96
119,0.96
120,0.96
121,0.96
122,0.96
123,0.96
124,0.96
125,0.96
126,0.96
127,0.96
128,0.96
129,0.965
130,0.965
131,0.965
132,0.965
133,0.965
134,0.965
135,0.965
136,0.965
137,0.965
138,0.965
139,0.965
140,0.965
141,0.965
142,0.965
143,0.965
144,0.965
145,0.965
146,0.965
147,0.965
148,0.965
149,0.96
150,0.965
151,0.96
152,0.96
153,0.96
154,0.96
155,0.96
156,0.965
157,0.96
158,0.965
159,0.96
160,0.965
161,0.965
162,0.965
163,0.965
164,0.965
165,0.96
166,0.96
167,0.96
168,0.96
169,0.96
170,0.96
171,0.96
172,0.96
173,0.96
174,0.96
175,0.96
176,0.96
177,0.96
178,0.96
179,0.96
180,0.96
181,0.96
182,0.96
183,0.96
184,0.96
185,0.96
186,0.96
187,0.96
188,0.96
189,0.965
190,0.965
191,0.965
192,0.965
193,0.965
194,0.965
195,0.965
196,0.965
197,0.965
198,0.965
199,0.965
200,0.965
